             1             1
             2             1
             3             1
             4             1
             5             1
             6             1
             7            -1
             8            -2
             9            -3
            10            -4
            11            -5
            12            -6
            13             1
            14             1
            15             1
            16           -13
            17           -14
            18           -15
            19             1
            20           -19
            21             1
            22             1
            23             1
            24           -21
            25           -22
            26           -23
            27             1
            28             1
            29           -27
            30           -28
            31             1
            32             1
            33             1
            34             1
            35             1
            36             1
            37             1
            38             1
            39             1
            40             1
            41             1
            42             1
            43             1
            44             1
            45             1
            46             1
            47             1
            48           -31
            49           -32
            50           -33
            51           -34
            52           -35
            53           -36
            54           -37
            55           -38
            56           -39
            57           -40
            58           -41
            59           -42
            60           -43
            61           -44
            62           -45
            63           -46
            64           -47
            65             1
            66             1
            67           -65
            68           -66
            69             1
            70             1
            71             1
            72           -69
            73           -70
            74           -71
            75             1
            76             1
            77             1
            78             1
            79           -75
            80           -76
            81           -77
            82           -78
            83             1
            84             1
            85             1
            86             1
            87           -83
            88           -84
            89           -85
            90           -86
