0.62698E-02 0.49276E-04 0.00000E+01 125814 0 0 7368 0.11740E+07 0.00000E+01 0.62698E-02 0.00000E+01 0.00000E+01 0
1 0.0067122 0.0004613 2.6395 0.39033 0.0067122
2 0.0061722 0.00014755 2.3906 0.45284 0.0061722
3 0.0061718 7.4854e-05 1.7152 0.23581 0.0061718
4 0.006172 0.00046681 2.781 0.3544 0.006172
5 0.0065451 0.0001391 2.1252 0.38704 0.0065451
6 0.0063515 7.3037e-05 1.6262 0.1944 0.0063515
7 0.0071932 0.00044072 2.3705 0.28953 0.0071932
8 0.0064032 0.00017292 2.7005 0.91243 0.0064032
9 0.0061957 7.5166e-05 1.7157 0.30091 0.0061957
10 0.0062613 0.00035482 2.1579 0.14338 0.0062613
11 0.0066072 0.00014282 2.1616 0.2958 0.0066072
12 0.0061395 6.9902e-05 1.6102 0.16696 0.0061395
