##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d01 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +1.9800000e+00   +2.0100000e+00   +2.5378400e-12   +1.5560517e-13
  +2.0100000e+00   +2.0400000e+00   +2.5473900e-12   +1.5589770e-13
  +2.0400000e+00   +2.0700000e+00   +2.0321900e-12   +1.3924316e-13
  +2.0700000e+00   +2.1000000e+00   +1.8700000e-12   +1.3357050e-13
  +2.1000000e+00   +2.1300000e+00   +1.8700000e-12   +1.3357180e-13
  +2.1300000e+00   +2.1600000e+00   +1.6696400e-12   +1.2621238e-13
  +2.1600000e+00   +2.1900000e+00   +1.5456000e-12   +1.2143408e-13
  +2.1900000e+00   +2.2200000e+00   +1.3452400e-12   +1.1329052e-13
  +2.2200000e+00   +2.2500000e+00   +1.3643300e-12   +1.1409100e-13
  +2.2500000e+00   +2.2800000e+00   +1.0304100e-12   +9.9150899e-14
  +2.2800000e+00   +2.3100000e+00   +1.1830500e-12   +1.0624124e-13
  +2.3100000e+00   +2.3400000e+00   +8.0143000e-13   +8.7442519e-14
  +2.3400000e+00   +2.3700000e+00   +6.9647000e-13   +8.1516073e-14
  +2.3700000e+00   +2.4000000e+00   +5.2474500e-13   +7.0756016e-14
  +2.4000000e+00   +2.4300000e+00   +4.2933400e-13   +6.4001458e-14
  +2.4300000e+00   +2.4600000e+00   +3.4346600e-13   +5.7244125e-14
  +2.4600000e+00   +2.4900000e+00   +4.1979100e-13   +6.3286534e-14
  +2.4900000e+00   +2.5200000e+00   +2.8622300e-13   +5.2257439e-14
  +2.5200000e+00   +2.5500000e+00   +2.4806000e-13   +4.8648819e-14
  +2.5500000e+00   +2.5800000e+00   +1.5265200e-13   +3.8163603e-14
  +2.5800000e+00   +2.6100000e+00   +1.1448900e-13   +3.3050492e-14
  +2.6100000e+00   +2.6400000e+00   +1.3357200e-13   +3.5698756e-14
  +2.6400000e+00   +2.6700000e+00   +9.5407800e-14   +3.0170951e-14
  +2.6700000e+00   +2.7000000e+00   +1.1448880e-13   +3.3050230e-14
  +2.7000000e+00   +2.7300000e+00   +1.9081600e-14   +1.3492729e-14
  +2.7300000e+00   +2.7600000e+00   +2.8622400e-14   +1.6525150e-14
  +2.7600000e+00   +2.7900000e+00   +2.8622400e-14   +1.6525150e-14
  +2.7900000e+00   +2.8200000e+00   +1.9082000e-14   +1.3493000e-14
  +2.8200000e+00   +2.8500000e+00   +9.5408000e-15   +9.5408000e-15
  +2.8500000e+00   +2.8800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8800000e+00   +2.9100000e+00   +2.8622400e-14   +1.6525150e-14
  +2.9100000e+00   +2.9400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9400000e+00   +2.9700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9700000e+00   +3.0000000e+00   +0.0000000e+00   +0.0000000e+00
<\histogram>
##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d12 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +0.0000000e+00   +3.0000000e-02   +0.0000000e+00   +0.0000000e+00
  +3.0000000e-02   +6.0000000e-02   +0.0000000e+00   +0.0000000e+00
  +6.0000000e-02   +9.0000000e-02   +0.0000000e+00   +0.0000000e+00
